"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Trapdoor","Gorgon City","3262369","83084","4967","1229","2020-12-04"
"One Last Song","Gorgon City, JP Cooper, Yungen","4883447","85265","4783","1225","2018-08-03"
"You've Done Enough (with DRAMA) - The Purple Prince Version","Gorgon City, DRAMA","1058420","78375","5904","1193","2021-03-12"
"Nobody - Extended Mix","Gorgon City, DRAMA","521741","83636","4511","1121","2020-04-24"
"Ready For Your Love - Etherwood Remix","Gorgon City, MNEK, Etherwood","1141950","66388","4112","1111","2014-01-01"
"Hell to the Liars (Gorgon City Remix)","London Grammar, Gorgon City","1415000","74638","4327","1104","2017-11-10"
"Never Enough","Gorgon City, Chenai","1712876","64124","5009","1062","2018-08-10"
"Go All Night - Wilkinson Remix","Gorgon City, Jennifer Hudson, Wilkinson","548965","57077","3654","969","2014-12-15"
"There For You - ARTY Remix","Gorgon City, MK, Arty","1709356","64868","3575","958","2019-11-01"
"Dreams - Terrace Dub","Gorgon City, Jem Cooke","456179","73589","3641","950","2021-11-05"
"Blue Parrot","Gorgon City","1877092","64353","3695","946","2016-04-08"
"Intentions - Original","Gorgon City, Clean Bandit","3121628","53036","3544","924","2013-01-01"
"Energy - Gorgon City Remix","Digga D, Gorgon City","113330","98935","3501","837","2023-05-05"
"Let It Go","Gorgon City, Naations","1134366","52034","4360","818","2018-08-10"
"Sweet Temptation - Gianni Keys Remix","Gorgon City, Gianni Keys","257210","41985","2585","787","2021-11-05"
"House Arrest - Jacques Lu Cont Remix","Sofi Tukker, Gorgon City, Jacques Lu Cont","779977","50181","3950","757","2020-08-14"
"All Gone Pete Tong & Gorgon City Miami 2015 Mixtape","Pete Tong, Gorgon City","1421436","56085","3177","751","2015-03-20"
"Sacrifice - Gorgon City Remix","Bebe Rexha, Gorgon City","487331","54376","2938","738","2021-04-09"
"Smile - The Magician Remix","Gorgon City, Elderbrook, The Magician","1809603","38335","2878","700","2016-11-08"
"Real Life - Murdock Remix","Duke Dumont, Gorgon City, Naations, Murdock","833358","52791","2786","686","2017-07-21"
"Burning - Terrace Dub","Gorgon City, Evan Giia","787372","47023","3336","659","2020-10-09"
"Here For You - Stripped Session","Gorgon City, Laura Welsh","889363","37142","2242","550","2014-01-01"
"Burning - Ben Hemsley Remix","Gorgon City, Evan Giia, Ben Hemsley","240021","16603","1555","547","2020-10-28"
"Ready For Your Love - MNEK Refix","Gorgon City, MNEK","1601616","33561","1960","539","2014-01-01"
"Let It Go - Terrace Dub","Gorgon City, Naations","363555","42254","2597","495","2018-10-31"
"Saving My Life - Terrace Dub","Gorgon City, ROMANS","1465192","36210","1942","494","2015-08-14"
"Overdose","Gorgon City, Josh Barry","842796","32608","2377","491","2018-08-10"
"All Four Walls - Extended Mix","Gorgon City, Vaults","431414","32507","1883","485","2016-04-01"
"State Of Mind - Gorgon City Renaissance Remix","Mephisto, Gorgon City","168487","43809","1818","472","2022-06-03"
"Deeper - Gorgon City Extended Remix","Todd Edwards, Sinden, Gorgon City","227052","27107","2271","460","2019-08-02"
"Foolproof - LP Giobbi Remix","Hayden James, Gorgon City, Nat Dunn, LP Giobbi","607600","39032","1744","447","2021-04-30"
"Cycles","Gorgon City, Clean Bandit","1451602","28817","1785","436","2013-01-01"
"Unmissable - DJ Anna Remix","Gorgon City, Zak Abel","793018","25944","1797","424","2015-04-07"
"Never Let Me Down - Josh Hunter Remix","Gorgon City, Hayley May, JOSH HUNTER","363606","34909","1658","423","2021-07-23"
"Know My Ting (feat. Shakka) - Gorgon City Remix","Ghetts, Shakka, Gorgon City","859910","25975","1618","420","2017-04-14"
"Ecstasy - Ben Kim Remix","Gorgon City, Jem Cooke, Ben Kim, Ben Kim","197921","29823","1657","405","2021-11-05"
"Dreams - Local Dialect Remix","Gorgon City, Jem Cooke, Local Dialect","148358","27026","1456","379","2021-11-05"
"Body Language - Miane Remix","Gorgon City, Cami Izquierdo, Miane, Cami Bear","139138","21554","1150","329","2021-11-05"
"Real Life - Dillon Francis Remix","Duke Dumont, Gorgon City, Naations, Dillon Francis","920204","21306","1294","322","2017-07-21"
"Real Life - Tom & Collins Remix","Duke Dumont, Gorgon City, Naations, Tom & Collins","1327644","19305","1199","305","2017-07-28"
"Tears - Salomé Le Chat Remix","Gorgon City, Grace Grundy, Salomé Le Chat","121664","20150","1114","273","2021-11-05"
"Feel My Needs - Gorgon City Extended Mix","Weiss, Gorgon City","182816","12093","1090","262","2018-09-07"
"One Last Song - Terrace Dub","Gorgon City, JP Cooper","465184","18151","1090","260","2018-08-31"
"Go Deep - Terrace Dub","Gorgon City, Kamille, Ghosted","812220","17252","1044","258","2018-06-08"
"Real Life - Terrace Dub","Duke Dumont, Gorgon City, Naations","460343","17660","1025","248","2017-07-14"
"Here For You - Bingo Players Remix","Gorgon City, Laura Welsh, Bingo Players","1418771","18223","1066","245","2014-01-01"
"Impaired Vision","Gorgon City, Tink, Mikky Ekko","944415","14737","949","242","2016-04-29"
"Poseidon (Gorgon City Remix) - Mixed","Local Dialect, Gorgon City","182896","19000","1246","241","2020-07-10"
"Start Over - Reboot Remix","Damian Lazarus, Gorgon City, Leia Contois, Reboot","179110","44241","1017","241","2022-12-16"
"Kingdom - Terrace Dub","Gorgon City, Raphaella","691190","17570","1342","236","2018-10-31"
"Here For You - Deetron Remix","Gorgon City, Laura Welsh, Deetron","1037310","15546","935","233","2014-01-01"
"Go All Night - Booka Shade Remix","Gorgon City, Jennifer Hudson","464453","14066","789","225","2014-12-15"
"Real Life - Solardo Remix","Duke Dumont, Gorgon City, Naations, Solardo","716218","11605","709","184","2017-06-26"
"Unmissable - Huxley Remix","Gorgon City, Zak Abel, Huxley","860301","12892","771","180","2015-04-07"
"Overdose - Terrace Dub","Gorgon City, Josh Barry","292107","12378","988","176","2018-10-31"
"Zoom Zoom - Preditah Remix","Gorgon City, Wyclef Jean, Preditah","426263","9451","584","175","2016-08-12"
"Foolproof - Andhim Extended Remix","Hayden James, Gorgon City, Nat Dunn, Andhim","97443","14684","727","175","2021-05-07"
"Go Deep - Riton Remix","Gorgon City, Kamille, Ghosted, Riton","157452","10906","706","158","2018-06-22"
"Remember (feat. Stevie Appleton) - Hugo Cantarra Remix","Sonny Fodera, Gorgon City, Danny Howard, Stevie Appleton, Hugo Cantarra","46906","17730","628","156","2022-11-25"
"Imagination - Mak & Pasteman Remix","Gorgon City, Mak & Pasteman","402380","10333","641","154","2015-04-07"
"Motorola - Max Chapman Remix","Gorgon City, Max Chapman","331998","9368","528","152","2018-03-23"
"Ready For Your Love - CLOSE Remix","Gorgon City, MNEK, Will Saul","413017","8825","539","148","2014-01-01"
"Real Life - Kilter Remix","Duke Dumont, Gorgon City, Naations, Kilter","238157","6710","532","141","2017-07-21"
"Blackbird - Gorgon City Remix","Joeski, Gorgon City","235131","9708","586","138","2017-04-24"
"Nobody - Sam Girling Remix","Gorgon City, DRAMA, Sam Girling","167832","8634","513","138","2020-05-01"
"Trapdoor - PAX Remix","Gorgon City, Pax","386080","11496","753","133","2020-12-18"
"Hopelessly Coping - Gorgon City Remix","Wilkinson, Thabo, Gorgon City","387973","8061","435","132","2015-05-17"
"One Last Song - Prismo Remix","Gorgon City, JP Cooper, Prismo","170731","5261","452","132","2018-08-31"
"Go Deep - Night Shift Remix","Gorgon City, Kamille, Ghosted, Night Shift","105675","6801","522","126","2018-06-22"
"Baggage (with AlunaGeorge) - Kaidro Remix","Gryffin, Gorgon City, AlunaGeorge, Kaidro","146110","7276","540","123","2019-10-22"
"Go All Night - Drew Hill Remix","Gorgon City, Jennifer Hudson","323966","7621","443","120","2014-12-15"
"Baggage (with AlunaGeorge) - Illyus & Barrientos Remix","Gryffin, Gorgon City, AlunaGeorge, Illyus & Barrientos","424513","8937","569","117","2019-10-22"
