"Artist","Artist country","Artist genre","Viberate rank","Genre rank","Instagram","X","Soundcloud"
"Blanks","Netherlands","Pop","12420","4188","not following","is following","not following"
"Isaac Hayes","United States","R&B","12441","551","not following","is following","not following"
"Kes The Band","Trinidad and Tobago","Rock","12448","1191","not following","is following","not following"
"Adventure Club","Canada","Electronic","12455","957","not following","is following","not following"
"Matisse & Sadko","Russian Federation","Electronic","12460","958","not following","is following","not following"
"Different Heaven","Spain","Electronic","12551","969","not following","is following","not following"
"Dappy","United Kingdom","Hip Hop","12568","2383","not following","is following","not following"
"Ben Nicky","United Kingdom","Electronic","12579","973","is following","not following","is following"
"Syn Cole","Estonia","Electronic","12611","976","is following","is following","not following"
"MAKJ","United States","Electronic","12614","977","is following","is following","not following"
"Victor WAO","Brazil","Hip Hop","12706","2412","not following","is following","is following"
"Niniola","Nigeria","African","12720","220","not following","is following","not following"
"Average Rob","Belgium","Hip Hop","12740","2418","not following","is following","not following"
"Gerard Joling","Netherlands","Pop","12768","4307","not following","is following","not following"
"Thierry Von Der Warth","Belgium","Electronic","12783","988","not following","is following","not following"
"Vessbroz","Netherlands","Electronic","12797","989","not following","not following","is following"
"Da Hool","Germany","Electronic","12803","990","is following","is following","not following"
"Aldy Maldini","Indonesia","Pop","12819","4322","is following","not following","not following"
"Chemical Surf","Brazil","Electronic","12841","996","is following","not following","not following"
"Paul Oakenfold","United Kingdom","Electronic","12889","998","both","both","not following"
"Natalie La Rose","United States","Pop","12890","4341","not following","both","not following"
"DJ Jazzy Jeff","United States","Hip Hop","12896","2453","not following","both","not following"
"Dogus Cabakcor","Turkey","Electronic","12909","1000","is following","not following","not following"
"Chicane","United Kingdom","Electronic","12924","1001","is following","not following","not following"
"Jim Yosef","Sweden","Electronic","12935","1003","not following","not following","is following"
"Mikolas Josef","Czech Republic","Pop","12965","4370","is following","is following","not following"
"Joy Oladokun","United States","Pop","12984","4375","not following","is following","not following"
"Peter Andre","Australia","Pop","12994","4380","is following","is following","not following"
"GoonRock","United States","Electronic","12999","1009","not following","is following","not following"
"Samantha Fox","United Kingdom","Pop","13004","4384","not following","is following","not following"
"Logan Henderson","United States","Pop","13025","4390","not following","is following","not following"
"Shift K3Y","United Kingdom","Electronic","13030","1010","is following","not following","not following"
"Fulanito","United States","Latin","13061","1427","is following","not following","is following"
"Jay Hardway","Netherlands","Electronic","13075","1015","is following","is following","not following"
"Alida","Norway","Pop","13089","4409","not following","is following","not following"
"C-bool","Poland","Electronic","13133","1022","is following","is following","not following"
"Weiss","United Kingdom","Electronic","13142","1023","is following","not following","not following"
"Camden Cox","United Kingdom","Electronic","13152","1024","is following","is following","not following"
"Grégoire","France","Pop","13159","4430","not following","is following","not following"
"Dyamante DJ","Brazil","Latin","13169","1437","not following","not following","is following"
"Wax Motif","Australia","Electronic","13171","1029","is following","both","is following"
"Karen Harding","United Kingdom","Electronic","13172","1030","is following","is following","not following"
"The Idan Raichel Project (עידן רייכל)","Israel","Pop","13176","4437","not following","is following","not following"
"Vescan","Romania","Hip Hop","13194","2501","not following","is following","not following"
"Anis Don Demina","Sweden","Pop","13195","4442","not following","is following","is following"
"KURA","Portugal","Electronic","13201","1032","is following","is following","not following"
"Zonderling","Netherlands","Electronic","13233","1034","not following","is following","not following"
"Michael Gray","United Kingdom","Electronic","13248","1035","is following","both","not following"
"The Interrupters","United States","Punk","13289","78","is following","not following","not following"
"Felix Cartal","Canada","Electronic","13316","1039","is following","is following","not following"
"Christophe Willem","France","Pop","13319","4485","not following","is following","not following"
"Riva Starr","Italy","Electronic","13368","1045","is following","both","not following"
"Angemi","Italy","Electronic","13385","1048","not following","is following","not following"
"Pawni Pandey","India","Pop","13397","4511","is following","not following","not following"
