"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Siren Song - Redondo Remix","CamelPhat, Redondo, EDEN","220085","14996","1325","239","2015-11-13"
"Siren Song - CamelPhat's Dark Dub","CamelPhat, EDEN","211582","13801","925","230","2015-11-13"
"Rabbit Hole - Bontan Remix","CamelPhat, Jem Cooke, Bontan","496407","16634","1168","217","2020-01-24"
"Siren Song - NEW_ID Remix","CamelPhat, NEW_ID, EDEN","199001","9606","1022","191","2015-11-13"
"Liberation","Alan Fitzpatrick, CamelPhat","594205","2639","646","178","2019-04-19"
"Rabbit Hole - Monkey Safari's Attention Mix","CamelPhat, Jem Cooke, Monkey Safari","110636","8966","575","151","2020-01-10"
"Cola - Kenneth Bager Remix","CamelPhat, Elderbrook, Kenneth Bager","125072","10947","663","147","2017-11-10"
"Hulk - Camelphat Remix - Mixed","DJ Wady, Patrick M, CamelPhat","23224","6254","536","147","2019-04-26"
"Coup De Grace - CamelPhat Remix","Miles Kane, CamelPhat","202661","8758","582","143","2019-02-15"
"The Quad - Kevin McKay Remix","CamelPhat, Kevin McKay","162700","8741","492","139","2016-12-02"
"Say Nothing - CamelPhat Remix","Muto, Emerson Leif, CamelPhat","224058","9435","524","137","2017-09-29"
"Paradigm - Shapov Remix","CamelPhat, A*M*E, Shapov","110350","6262","438","134","2015-05-31"
"Drop It - Mason Maynard Extended Mix","CamelPhat, Mason Maynard","165833","7708","616","130","2018-10-08"
"Cola - Mousse T.'s Extended Glitterbox Mix (Mixed)","CamelPhat, Elderbrook, Mousse T.","26111","7631","517","127","2019-08-16"
"Paths - Extended Mix","Redondo, CamelPhat","224538","7469","474","125","2016-01-15"
"Rabbit Hole - Monkey Safari's Claps of Life Mix","CamelPhat, Jem Cooke, Monkey Safari","189522","8075","458","113","2020-01-10"
"Panic Room - KDA Stop Saying You Were at Trade When You Weren't Remix","Au/Ra, CamelPhat, KDA","89921","4814","435","100","2018-03-28"
"One Summer - 12 Version","Yousef, CamelPhat","41445","6434","356","87","2021-08-20"
"Bugged Out - MK Dub","CamelPhat, Audio Bullys, MK","267856","5465","374","85","2018-03-02"
"Bugged Out - MK Remix","CamelPhat, Audio Bullys, MK","267856","5465","374","85","2018-03-02"
"Bugged Out - Instrumental","Audio Bullys, CamelPhat","35523","3677","242","67","2018-03-02"
"Cola - Simon Mills Full Sugar Mix; Mixed","CamelPhat, Elderbrook, Simon Mills a.k.a One Half Of Bent","54744","4256","330","64","2018-12-14"
"Float Away - CamelPhat Extended Remix","Yousef, CamelPhat","4906","3796","221","62","2021-07-16"
"Special - CamelPhat Remix","Billon, Maxine Ashley, CamelPhat","125992","3926","244","61","2014-10-05"
"Paradigm - Dark Dub Mix","CamelPhat, A*M*E","51997","3250","225","59","2015-05-31"
"Paradigm - RavenKis Remix","CamelPhat, A*M*E, RavenKis","74450","3807","217","55","2015-05-31"
"Crystal Clear (feat. Ursula Rucker)","CamelPhat, Riva Starr, Ursula Rucker","7991","2837","204","50","2023-04-28"
"Dopamine Machine - Mixed","CamelPhat, Ali Love","97398","3819","233","47","2018-08-24"
"Dopamine Machine - Club Mix (Mixed)","CamelPhat, Ali Love","97398","3926","302","47","2018-12-14"
"Bugged Out - Skream Remix","CamelPhat, Audio Bullys, Skream","32207","3296","198","46","2018-03-02"
"Girl On Girl - Marc Poppcke Remix","CamelPhat, Marc Poppcke","31775","2452","185","40","2011-11-11"
"Warning Signs (Record Of The Week) [ABGT440] - CamelPhat Remix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","63082","2265","177","36","2021-07-04"
"Paradigm - Kloks Remix","CamelPhat, A*M*E","38582","2472","119","34","2015-05-31"
"Dancing Makes Us Brave - CamelPhat Remix","Nimmo, CamelPhat","50780","2034","129","33","2016-11-04"
"My Love 4 U (feat. A*M*E) - CamelPhat Remix","MK, A*M*E, CamelPhat","120294","2614","150","32","2017-01-13"
"Better Love - CamelPhat Remix","Foxes, CamelPhat","107620","2499","151","31","2015-09-11"
"Paradigm - Felon Remix","CamelPhat, A*M*E, Felon","51568","2797","150","29","2015-05-31"
"Live For Something - CamelPhat Remix","TCTS, CamelPhat","134127","2101","150","28","2016-06-10"
"Live For The Music feat. Erire - Life+ Remix","CamelPhat, Erire","22626","145","121","23","2013-04-16"
"Live For The Music feat. Erire - Life+ Dub","CamelPhat, Erire","22626","145","121","23","2013-04-16"
"Reach for Me - Camelphat Remix","Mark Jenkyns, CamelPhat","17861","1321","67","22","2017-06-05"
"Bugged Out - Acapella","Audio Bullys, CamelPhat","28813","1214","91","22","2018-03-02"
"Younger - CamelPhat Remix","Seinabo Sey, CamelPhat","5893","374","67","20","2015-04-24"
"Cola - Simon Mills Full Sugar Mix (Mixed)","CamelPhat, Elderbrook, Simon Mills a.k.a One Half Of Bent","4381","812","175","20","2020-06-05"
"Siren Song - Vijay & Sofia Zlakto Remix","CamelPhat, EDEN","265418","1789","71","19","2015-12-25"
"Bugged Out - Lawlers Thanks For Harlem Remix","CamelPhat, Audio Bullys, Steve Lawler","30463","1351","110","17","2018-03-02"
"Paradigm (feat. A*M*E) - Amtrac Temptation Edit","CamelPhat, A*M*E","63468","1060","66","16","2015-06-29"
"Please Don't Play - CamelPhat Remix","James Curd, CamelPhat","19429","842","54","16","2017-08-25"
"Warning Signs (ABGT441) - CamelPhat Remix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","27429","601","37","16","2021-07-11"
"Warning Signs (RR035) - CamelPhat Remix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","2499","388","34","15","2022-04-26"
"Temperament Of The Beat (WYM389)","Cari Golden, CamelPhat","6257","752","51","13","2021-09-20"
"Girl On Girl - Kassey Voorn Remix","CamelPhat, Kassey Voorn","5713","788","41","12","2011-11-11"
"Stronger (feat. Alex Newell & Sean Bass) - CamelPhat Dark Dub Remix","Clean Bandit, Alex Newell, CamelPhat","47389","802","52","10","2015-05-19"
"Warning Signs (ABGT460) - Camelphat Remix","Alan Fitzpatrick, Lawrence Hart, CamelPhat","21775","662","47","10","2021-11-13"
"Live For The Music feat. Erire - Reza Remix","CamelPhat, Erire","13332","73","60","9","2013-04-16"
"Paradigm (feat. A*M*E) - Instrumental","CamelPhat, A*M*E","11149","384","63","9","2015-06-29"
"Accelerator (SPOT2018)","Solardo, CamelPhat","25467","689","41","9","2018-12-28"
"Bang 2 Drum - Jesse Perez's Deep Bang Remix","CamelPhat, Mat.Joe, Jesse Perez","5712","691","35","8","2018-07-06"
"Drop It (SPOT2018) - Mason Maynard Remix","CamelPhat, Mason Maynard","27412","708","46","7","2018-12-28"
"Warning Signs - CamelPhat Remix (Mixed)","Alan Fitzpatrick, Lawrence Hart, CamelPhat","4346","393","27","7","2021-12-10"
"Sun Comes Up - Club Mix","CamelPhat, Jaxxon","4770","353","30","6","2015-02-11"
