"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Spring Embers - Extended Mix","Nora En Pure","145323","136023","5876","1470","2023-04-14"
"Aquatic - Extended Mix","Nora En Pure","529675","97689","5465","1412","2021-06-04"
"Sooner or Later - Nora En Pure Radio Edit","Adrian Lux, Kaelyn Behr, Nora En Pure","6340944","82211","5257","1361","2014-06-03"
"Indulgence - Extended Mix","Nora En Pure","164160","159171","5387","1331","2023-03-10"
"I Got to Do","Nora En Pure, Redondo","3864893","81792","5201","1310","2016-03-02"
"Zambia","Nora En Pure","2301412","101163","4877","1262","2016-04-05"
"Tribe of Kindness - Extended Mix","Nora En Pure","255340","88210","4712","1241","2022-03-25"
"In Your Eyes - Club Edit","Nora En Pure","1202653","89874","4682","1179","2020-08-28"
"See The End - Nora En Pure Remix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","1856709","87643","4784","1177","2019-11-07"
"Thermal","Nora En Pure","918039","98347","5161","1173","2021-04-16"
"Won't Leave Your Side","Nora En Pure, Liz Cass","999824","63509","4719","1171","2021-07-23"
"Oblivion - Extended Mix","Nora En Pure","589895","74069","4637","1162","2021-04-16"
"Sleeping in My Bed","Nora En Pure","5455225","75307","4267","1133","2016-04-05"
"Sleeping in My Bed - Original Mix","Nora En Pure, Sons Of Maria","5455225","73643","4267","1133","2016-05-09"
"U Got My Body","Nora En Pure","2444094","70635","4407","1120","2015-01-01"
"Cognitive Fadings - Club Mix","Nora En Pure","1006907","66712","4257","1102","2021-01-29"
"Into the Wild","Nora En Pure","2691637","133427","4342","1091","2015-01-01"
"Street Names - Nora En Pure Radio Mix","Passenger 10, Nora En Pure","237595","31061","3818","1087","2013-04-15"
"True - Tep No Radio Mix","Nora En Pure, Tep No","1755367","79126","3973","1049","2014-01-01"
"8 Letters - Nora En Pure Remix","Why Don't We, Nora En Pure","666204","49222","4984","1047","2019-01-14"
"Come Away - Extended Mix","Nora En Pure, Tim Morrison","455924","64182","5475","1042","2020-10-23"
"Monsoon - Extended Mix","Nora En Pure","417125","65558","4096","1017","2021-01-29"
"We Found Love (feat. Ashibah) - Nora En Pure & Passenger 10 Remix Edit","Nora En Pure, Passenger 10, Ashibah","2056987","75067","5447","988","2019-02-22"
"Us - Polar Inc. Extended Remix","Nora En Pure, Polar Inc.","247002","135529","4067","970","2022-05-27"
"Hope - Nora en Pure Radio Mix","Sir Felix, Nora En Pure","2012933","74010","4885","956","2014-07-04"
"True - Lexer Radio Edit","Nora En Pure, Lexer","1771638","78066","3415","916","2014-01-01"
"Cognitive Fadings - Extended Mix","Nora En Pure","242250","54000","3731","916","2021-01-29"
"World of Rules","Nora En Pure","1072926","93795","3966","915","2021-01-29"
"Lake Arrowhead - Passenger 10 Remake","Nora En Pure, Passenger 10","1748951","65460","3468","900","2017-12-21"
"Come with Me - Passenger 10 Remix Edit","Nora En Pure, Passenger 10","1857200","90115","4478","878","2019-08-09"
"Forsaken Dream - Intro Mix","Nora En Pure","338310","81684","3553","878","2022-08-26"
"Monsters off My Back - Nora En Pure Radio Mix","Passenger 10, Nora En Pure","508609","30954","3500","857","2016-10-10"
"Cognitive Fadings","Nora En Pure","512081","64293","3713","850","2021-01-29"
"Us - Nora en Pure Club Mix","Nora En Pure","117103","44406","2825","788","2022-06-03"
"Wholehearted - Extended Mix","Nora En Pure","79548","77039","3119","787","2023-06-02"
"Sycamore - Extended Mix","Nora En Pure","105607","99882","3138","772","2023-06-02"
"Gratitude - Extended Mix","Nora En Pure","152850","64621","3222","766","2022-08-26"
"All I Need - Extended Mix","Nora En Pure","311413","40906","2951","753","2020-06-12"
"Come With Me - KR$CHN Remix","Nora En Pure, KR$CHN","1212553","68743","2837","742","2014-01-01"
"True - Mark Lower Remix","Nora En Pure, Mark Lower","785683","46825","2615","735","2014-01-01"
"Back & Forth - Nora En Pure Remix","The Aston Shuffle, Elizabeth Rose, Nora En Pure","65114","15944","2829","711","2014-07-25"
"Sign of the Times - Extended Mix","Nora En Pure","185179","44718","2805","692","2021-12-10"
"Maybe - Nora en Pure Extended Vocal Mix","Sir Felix, Hero Baldwin, Nora En Pure","1459444","50002","3873","685","2016-03-21"
"Packard - Nora En Pure Extended Mix","Oliver Schories, Jan Blomqvist, Nora En Pure","230881","38026","2949","685","2020-10-09"
"Cool Girl - Nora En Pure Extended Mix","Tove Lo, Nora En Pure","316397","40234","2165","592","2021-09-17"
"Bartok - Extended Mix","Nora En Pure","224722","32173","2142","535","2020-07-17"
"Come With Me - Hailing Jordan Radio Edit","Nora En Pure","4435152","30704","1931","522","2013-11-18"
"Come With Me - Hailing Jordan Radio Mix","Nora En Pure","4435152","30704","1865","522","2013-12-27"
"Come With Me - Hailing Jordan Radio Edit","Nora En Pure, Hailing Jordan","4435152","30704","2000","522","2014-01-01"
"Thermal - Extended Mix","Nora En Pure","190591","29964","2202","490","2021-04-16"
"In the Air Tonight - Passenger 10 Remix Edit","Nora En Pure, Lika Morgan, Passenger 10","271716","33559","1814","463","2020-05-22"
"In The Air Tonight - Passenger 10 Remix","Nora En Pure, Lika Morgan, Passenger 10","271716","33559","2255","463","2020-05-22"
