"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2023-02-12","359337","2541351","2415470","7.07","0.95"
"2023-02-19","360160","2485175","2382360","6.90","0.96"
"2023-02-26","361071","2481416","2250218","6.87","0.91"
"2023-03-05","362015","2492378","2307409","6.88","0.93"
"2023-03-12","363069","2516303","2251603","6.93","0.89"
"2023-03-19","364218","2558190","2513601","7.02","0.98"
"2023-03-26","365220","2575420","2332086","7.05","0.91"
"2023-04-02","366057","2567776","2660778","7.01","1.04"
"2023-04-09","366854","2572754","2314233","7.01","0.90"
"2023-04-16","367742","2597858","2285372","7.06","0.88"
"2023-04-23","368946","2685764","2451799","7.28","0.91"
"2023-04-30","369803","2747631","2973087","7.43","1.08"
"2023-05-07","370762","2805856","2647868","7.57","0.94"
"2023-05-14","371639","2824852","2675455","7.60","0.95"
"2023-05-21","372615","2865643","2718940","7.69","0.95"
"2023-05-28","373622","2919096","2913697","7.81","1.00"
"2023-06-04","374652","2932761","2790973","7.83","0.95"
"2023-06-11","375673","2968156","2907158","7.90","0.98"
"2023-06-18","376778","2997159","2796059","7.95","0.93"
"2023-06-25","377716","3057615","2668682","8.10","0.87"
"2023-07-02","378727","3095961","2775990","8.17","0.90"
"2023-07-09","379840","3111923","2877575","8.19","0.92"
"2023-07-16","380882","3106821","2804755","8.16","0.90"
"2023-07-23","382015","3047123","2762543","7.98","0.91"
"2023-07-30","383092","3014383","2671470","7.87","0.89"
"2023-08-06","384174","3007706","2895732","7.83","0.96"
"2023-08-13","385388","3003348","2912026","7.79","0.97"
"2023-08-20","386541","3024784","2949416","7.83","0.98"
"2023-08-27","387505","3028764","2787930","7.82","0.92"
"2023-09-03","388445","2984769","2689266","7.68","0.90"
"2023-09-10","389456","2956856","2806144","7.59","0.95"
"2023-09-17","390514","2909400","3070175","7.45","1.06"
"2023-09-24","391568","2893852","2463328","7.39","0.85"
"2023-10-01","392564","2858013","2633474","7.28","0.92"
"2023-10-08","393479","2791932","2590331","7.10","0.93"
"2023-10-15","394348","2720732","2541167","6.90","0.93"
"2023-10-22","394666","2671190","2510357","6.77","0.94"
"2023-10-29","395621","2656425","2687472","6.71","1.01"
"2023-11-05","396555","2630118","2521449","6.63","0.96"
"2023-11-12","397598","2634808","2744600","6.63","1.04"
"2023-11-19","398614","2642039","1836331","6.63","0.69"
"2023-11-26","399510","2612420","3257975","6.54","1.25"
"2023-12-03","401013","2584249","2390714","6.44","0.93"
"2023-12-10","402135","2532641","2194123","6.30","0.87"
"2023-12-17","403057","2464351","1989727","6.11","0.81"
"2023-12-24","403536","2402381","2348687","5.95","0.98"
"2023-12-31","404210","2334989","1879702","5.78","0.81"
"2024-01-07","405228","2331407","1110537","5.75","0.48"
"2024-01-14","406160","2356010","2796349","5.80","1.19"
"2024-01-21","406994","2349654","3417760","5.77","1.45"
"2024-01-28","407759","2384017","2227608","5.85","0.93"
"2024-02-04","408915","2387208","2414742","5.84","1.01"
"2024-02-11","409442","2378002","2610187","5.81","1.10"
"2024-02-18","410055","2368225","2259151","5.78","0.95"
"2024-02-25","411068","2343300","2260010","5.70","0.96"
